kaxiyalpattarU kalYu(V10)+xiyalpadu_lYu_FUTCOND+ttarU_du_NFV
kaxiyalpaduwwa kalYu(V10)+xiyalpaduwwa_lYu_PRESCONT
kaxiyalpatta kalYu(V10)+xiyalpadu_lYu_RP+tta_du_PAST
kaxiyalpadaxeV kalYu(V10)+xiyalpadu_lYu_NEG+axeV_u_NFV	
kaxiyalpadaxa kalYu(V10)+xiyalpadu_lYu_NEG+axa_u_NFV
kaxiyalpattu kalYu(V10)+xiyalpadu_lYu_PAST+pattu_padu_NFV
kaxiyalpaduva kalYu(V10)+xiyalpadu_lYu_FUT+va_#_RP
kaxiyalpadalu kalYu(V10)+xiyalpadu_lYu_INFN+alu_u_FUTINCH
kaxiyalpadalikkeV kalYu(V10)+xiyalpadu_lYu_INFN+alikkeV_u_FUTINCH
kaxiyalpattareV kalYu(V10)+xiyalpadu_lYu_FUTCOND+pattareV_padu_NFV
kaxiyalpattalli kalYu(V10)+xiyalpadu_lYu_FUTCOND+pattalli_padu_NFV

kaxiyalpaduwwiruva kalYu(V10)+xiyalpadu_lYu_AUX+uwwiruva_u_RP
kaxiyalpaduwwikaxxa kalYu(V10)+xiyalpadu_lYu_AUX+uwwikaxxa_u_RP
kaxiyalpaduwwaliruva kalYu(V10)+xiyalpadu_lYu_AUX+uwwaliruva_u_RP
kaxiyalpaduwwirabekikaxxa kalYu(V10)+xiyalpadu_lYu_AUX+uwwiru_u_AVY+abekikaxxa_u_3SN
kaxxanA kalYu(V10)+kaxxanA_kalYu_INTR
kaxxalYA kalYu(V10)+kaxxalYA_kalYu_INTR
kaxxiwA kalYu(V10)+kaxxiwA_kalYu_INTR
kaxxarA kalYu(V10)+kaxxarA_kalYu_INTR
kaxxavA kalYu(V10)+kaxxavA_kalYu_INTR
kaxiyuwwAnA kalYu(V10)+xiyuwwAnA_lYu_INTR
kaxiyuwwAlYA kalYu(V10)+xiyuwwAlYA_lYu_INTR
kaxiyuwwaxA kalYu(V10)+xiyuwwaxA_lYu_INTR
kaxiyuvanA kalYu(V10)+kaxiyuvanA_kalYu_INTR
kaxiyuvalYA kalYu(V10)+kaxiyuvalYA_kalYu_INTR
kaxiyuvuxA kalYu(V10)+kaxiyuvuxA_kalYu_INTR
kaxiyuvarA kalYu(V10)+kaxiyuvarA_kalYu_INTR
kaxiyuvuvA kalYu(V10)+kaxiyuvuvA_kalYu_INTR
kaxiyuwwiyA kalYu(V10)+kaxiyuwwiyA_kalYu_INTR
kaxiyuwwiriyA kalYu(V10)+kaxiyuwwiriyA_kalYu_INTR
kaxiyuwwIrA kalYu(V10)+kaxiyuwwIrA_kalYu_INTR
kaxiyuviyA kalYu(V10)+kaxiyuviyA_kalYu_INTR
kaxiyuvirA kalYu(V10)+kaxiyuvirA_kalYu_INTR
kaxiyuvuxA kalYu(V10)+kaxiyuvuxA_kalYu_INTR
kaxiyalA kalYu(V10)+kaxiyalA_kalYu_INTR

kaxiyalikkA kalYu(V10)+xiyalikkA_lYu_INTR
kaxiyokA kalYu(V10)+xiyokA_lYu_INTR
kaxiyabekA kalYu(V10)+xiyabekA_lYu_INTR
kaxiyakUdaxA kalYu(V10)+xiyakUdaxA_lYu_INTR
kaxiyabAraxA kalYu(V10)+xiyabAraxA_lYu_INTR
kaxiyanA kalYu(V10)+xiyanA_lYu_INTR
kaxiyalYA kalYu(V10)+xiyalYA_lYu_INTR
kaxiyaxA kalYu(V10)+xiyaxA_lYu_INTR
kaxiyarA kalYu(V10)+xiyarA_lYu_INTR
kaxiyavA kalYu(V10)+xiyavA_lYu_INTR
kaxiyalAreVvA kalYu(V10)+xiyalAreVvA_lYu_INTR
kaxiyalAreVnA kalYu(V10)+xiyalAreVnA_lYu_INTR
kaxiyalAririyA kalYu(V10)+xiyalAririyA_lYu_INTR
kaxiyalAranA kalYu(V10)+xiyalAranA_lYu_INTR
kaxiyalAralYA kalYu(V10)+xiyalAralYA_lYu_INTR
kaxiyalAraxA kalYu(V10)+xiyalAraxA_lYu_INTR
kaxiyalArarA kalYu(V10)+xiyalArarA_lYu_INTR
kaxiyalAravA kalYu(V10)+xiyalAravA_lYu_INTR
kaxiyaballanA kalYu(V10)+xiyaballanA_lYu_INTR
kaxiyaballalYA kalYu(V10)+xiyaballalYA_lYu_INTR
kaxiyaballaxA kalYu(V10)+xiyaballaxA_lYu_INTR
kaxiyaballarA kalYu(V10)+xiyaballarA_lYu_INTR
kaxiyaballavA kalYu(V10)+xiyaballavA_lYu_INTR
kaxiyabahuxA kalYu(V10)+xiyabahuxA_lYu_INTR
kaxiyalebekA kalYu(V10)+xiyalebekA_lYu_INTR
kaxiyalpattiwA kalYu(V10)+xiyalpattiwA_lYu_INTR
kaxiyalpattavA kalYu(V10)+xiyalpattavA_lYu_INTR
kaxiyalpaduwwaxA kalYu(V10)+xiyalpaduwwaxA_lYu_INTR
kaxiyalpaduwwavA kalYu(V10)+xiyalpaduwwavA_lYu_INTR
kaxiyalpaduvuxA kalYu(V10)+xiyalpaduvuxA_lYu_INTR
kaxiyalpaduvuvA kalYu(V10)+xiyalpaduvuvA_lYu_INTR
kaxiyalpadaxA kalYu(V10)+xiyalpadaxA_lYu_INTR
kaxiyalpadavA kalYu(V10)+xiyalpadavA_lYu_INTR
kaxiyalpadabekA kalYu(V10)+xiyalpadabekA_lYu_INTR
kaxiyalpadabArxA kalYu(V10)+xiyalpadabArxA_lYu_INTR
kaxiyalpadakUdaxA kalYu(V10)+xiyalpadakUdaxA_lYu_INTR
kaxiyalpadabahuxA kalYu(V10)+xiyalpadabahuxA_lYu_INTR
kaxiyalpadalebekA kalYu(V10)+xiyalpadalebekA_lYu_INTR
kaxiyalpadalAraxA kalYu(V10)+xiyalpadalAraxA_lYu_INTR
kaxiyalpadalAravA kalYu(V10)+xiyalpadalAravA_lYu_INTR
kaxxane kalYu(V10)+kaxxane_kalYu_INTR
kaxxalYe kalYu(V10)+kaxxalYe_kalYu_INTR
kaxiyuwwiwe kalYu(V10)+kaxiyuwwiwe_kalYu_INTR
kaxxare kalYu(V10)+kaxxare_kalYu_INTR
kaxxave kalYu(V10)+kaxxave_kalYu_INTR
kaxiyuwwAnye kalYu(V10)+xiyuwwAnye_lYu_INTR
kaxiyuwwAlYe kalYu(V10)+xiyuwwAlYe_lYu_INTR
kaxiyuwwaxeVye kalYu(V10)+xiyuwwaxeVye_lYu_INTR
kaxiyuvane kalYu(V10)+xiyuvane_lYu_INTR
kaxiyuvalYe kalYu(V10)+xiyuvalYe_lYu_INTR
kaxiyuvuxe kalYu(V10)+kaxiyuvuxe_kalYu_INTR
kaxiyuvare kalYu(V10)+kaxiyuvare_kalYu_INTR
kaxiyuvuve kalYu(V10)+kaxiyuvuve_kalYu_INTR
kaxiyuwwIriye kalYu(V10)+kaxiyuwwIriye_kalYu_INTR
kaxiyuwwiye kalYu(V10)+xiyuwwiye_lYu_INTR
kaxiyuwwIre kalYu(V10)+xiyuwwIre_lYu_INTR
kaxiyuviye kalYu(V10)+kaxiyuviye_kalYu_INTR
kaxiyuvire kalYu(V10)+kaxiyuvire_kalYu_INTR
kaxiyuvuxe kalYu(V10)+kaxiyuvuxe_kalYu_INTR
kaxiyale kalYu(V10)+xiyale_lYu_INTR
kaxiyalikke kalYu(V10)+xiyalikke_lYu_INTR
kaxiyabeke kalYu(V10)+xiyabeke_lYu_INTR
kaxiyakUdaxe kalYu(V10)+xiyakUdaxe_lYu_INTR
kaxiyabAraxe kalYu(V10)+xiyabAraxe_lYu_INTR
kaxiyane kalYu(V10)+xiyane_lYu_INTR
kaxiyalYe kalYu(V10)+xiyalYe_lYu_INTR
kaxiyaxe kalYu(V10)+xiyaxe_lYu_INTR
kaxiyare kalYu(V10)+xiyare_lYu_INTR
kaxiyave kalYu(V10)+xiyave_lYu_INTR
kaxiyalAreVve kalYu(V10)+xiyalAreVve_lYu_INTR
kaxiyalAreVne kalYu(V10)+xiyalAreVne_lYu_INTR
kaxiyalAririye kalYu(V10)+xiyalAririye_lYu_INTR
kaxiyalArane kalYu(V10)+xiyalArane_lYu_INTR
kaxiyalAralYe kalYu(V10)+xiyalAralYe_lYu_INTR
kaxiyalAraxe kalYu(V10)+xiyalAraxe_lYu_INTR
kaxiyalArare kalYu(V10)+xiyalArare_lYu_INTR
kaxiyalArave kalYu(V10)+xiyalArave_lYu_INTR
kaxiyaballane kalYu(V10)+xiyaballane_lYu_INTR
kaxiyaballalYe kalYu(V10)+xiyaballalYe_lYu_INTR
kaxiyaballaxe kalYu(V10)+xiyaballaxe_lYu_INTR
kaxiyaballare kalYu(V10)+xiyaballare_lYu_INTR
kaxiyaballave kalYu(V10)+xiyaballave_lYu_INTR
kaxiyabahuxe kalYu(V10)+xiyabahuxe_lYu_INTR
kaxiyalebeke kalYu(V10)+xiyalebeke_lYu_INTR
kaxiyalpattiwe kalYu(V10)+xiyalpattiwe_lYu_INTR
kaxiyalpattave kalYu(V10)+xiyalpattave_lYu_INTR
kaxiyalpadkaxxanxye kalYu(V10)+xiyalpadkaxxanxye_lYu_INTR
kaxiyalpadkaxxanvye kalYu(V10)+xiyalpadkaxxanvye_lYu_INTR
kaxiyalpaduvuxe kalYu(V10)+xiyalpaduvuxe_lYu_INTR
kaxiyalpaduvuve kalYu(V10)+xiyalpaduvuve_lYu_INTR
kaxiyalpadaxe kalYu(V10)+xiyalpadaxe_lYu_INTR
kaxiyalpadave kalYu(V10)+xiyalpadave_lYu_INTR
kaxiyalpadabeke kalYu(V10)+xiyalpadabeke_lYu_INTR
kaxiyalpadabArxe kalYu(V10)+xiyalpadabArxe_lYu_INTR
kaxiyalpadakUdaxe kalYu(V10)+xiyalpadakUdaxe_lYu_INTR
kaxiyalpadaballaxe kalYu(V10)+xiyalpadaballaxe_lYu_INTR
kaxiyalpadabahuxe kalYu(V10)+xiyalpadabahuxe_lYu_INTR
kaxiyalpadalebeke kalYu(V10)+xiyalpadalebeke_lYu_INTR
kaxiyalpadalAraxe kalYu(V10)+xiyalpadalAraxe_lYu_INTR
kaxiyalpadalArave kalYu(V10)+xiyalpadalArave_lYu_INTR
kaxxano kalYu(V10)+kaxxano_kalYu_INDF
kaxxalYo kalYu(V10)+kaxxalYo_kalYu_INDF
kaxxiwo kalYu(V10)+kaxxiwo_kalYu_INDF
kaxxaro kalYu(V10)+kaxxaro_kalYu_INDF
kaxxavo kalYu(V10)+kaxxavo_kalYu_INDF


kaxiyuwwAno kalYu(V10)+kaxiyuwwAno_kalYu_INDF
kaxiyuwwAlYo kalYu(V10)+kaxiyuwwAlYo_kalYu_INDF
kaxiyuwwaxeVyo kalYu(V10)+kaxiyuwwaxeVyo_kalYu_INDF
kaxiyuvano kalYu(V10)+kaxiyuvano_kalYu_INDF
kaxiyuvalYo kalYu(V10)+kaxiyuvalYo_kalYu_INDF
kaxiyuvuxo kalYu(V10)+xiyuvuxo_lYu_INDF
kaxiyuvaro kalYu(V10)+kaxiyuvaro_kalYu_INDF
kaxiyuvuvo kalYu(V10)+xiyuvuvo_lYu_INDF
kaxiyuvuxo kalYu(V10)+xiyuvuxo_lYu_INDF
kaxiyalo kalYu(V10)+xiyalo_lYu_INDF
kaxiyalikko kalYu(V10)+xiyalikko_lYu_INDF
