ajjanigoskarave ajja(N23MASC)+nigoskara_#_PUR+ve_#_IMPH
ajjanigoskarave ajja(N23MASC)+nigoskara_#_PUR+ve_#_DECL
ajjanigoskarave ajja(N23MASC)+nigoskara_#_PUR+ve_#_RIS
ajjanigAgiyA ajja(N23MASC)+nigAgi_#_PUR+yA_#_INTR
ajjanigAgiyU ajja(N23MASC)+nigAgi_#_PUR+yU_#_INCL
ajjanigAgiyo ajja(N23MASC)+nigAgi_#_PUR+yo_#_DUB
ajjanigAgiyo ajja(N23MASC)+nigAgi_#_PUR+yo_#_INDF
ajjanigAgiyo ajja(N23MASC)+nigAgi_#_PUR+yo_#_PRES
ajjanigAgiye ajja(N23MASC)+nigAgi_#_PUR+ye_#_IMPH
ajjanigAgiye ajja(N23MASC)+nigAgi_#_PUR+ye_#_DECL
ajjanigAgiye ajja(N23MASC)+nigAgi_#_PUR+ye_#_RIS
ajjanigosugavA ajja(N23MASC)+nigosuga_#_PUR+vA_#_INTR
ajjanigosugavU ajja(N23MASC)+nigosuga_#_PUR+vU_#_INCL
ajjanigosugavo ajja(N23MASC)+nigosuga_#_PUR+vo_#_DUB
ajjanigosugavo ajja(N23MASC)+nigosuga_#_PUR+vo_#_INDF
ajjanigosugavo ajja(N23MASC)+nigosuga_#_PUR+vo_#_PRES
ajjanigosugave ajja(N23MASC)+nigosuga_#_PUR+ve_#_IMPH
ajjanigosugave ajja(N23MASC)+nigosuga_#_PUR+ve_#_DECL
ajjanigosugave ajja(N23MASC)+nigosuga_#_PUR+ve_#_RIS
ajjanigiMwalA ajja(N23MASC)+nigiMwa_#_COMP+lA_#_INTR
ajjanigiMwalU ajja(N23MASC)+nigiMwa_#_COMP+lU_#_INCL
ajjanigiMwalo ajja(N23MASC)+nigiMwa_#_COMP+lo_#_DUB
ajjanigiMwalo ajja(N23MASC)+nigiMwa_#_COMP+lo_#_INDF
ajjanigiMwalo ajja(N23MASC)+nigiMwa_#_COMP+lo_#_PRES
ajjanigiMwale ajja(N23MASC)+nigiMwa_#_COMP+le_#_IMPH
ajjanigiMwale ajja(N23MASC)+nigiMwa_#_COMP+le_#_DECL
ajjanigiMwale ajja(N23MASC)+nigiMwa_#_COMP+le_#_RIS
ajjanaMweVyA ajja(N23MASC)+naMweV_#_SIM+yA_#_INTR
ajjanaMweVyU ajja(N23MASC)+naMweV_#_SIM+yU_#_INCL
ajjanaMweVyo ajja(N23MASC)+naMweV_#_SIM+yo_#_DUB
ajjanaMweVyo ajja(N23MASC)+naMweV_#_SIM+yo_#_INDF
ajjanaMweVyo ajja(N23MASC)+naMweV_#_SIM+yo_#_PRES
ajjanaMweVye ajja(N23MASC)+naMweV_#_SIM+ye_#_IMPH
ajjanaMweVye ajja(N23MASC)+naMweV_#_SIM+ye_#_DECL
ajjanaMweVye ajja(N23MASC)+naMweV_#_SIM+ye_#_RIS
ajjanoVdaneVyA ajja(N23MASC)+noVdaneV_#_SOC+yA_#_INTR
ajjanoVdaneVyU ajja(N23MASC)+noVdaneV_#_SOC+yU_#_INCL
ajjanoVdaneVyo ajja(N23MASC)+noVdaneV_#_SOC+yo_#_DUB
ajjanoVdaneVyo ajja(N23MASC)+noVdaneV_#_SOC+yo_#_INDF
ajjanoVdaneVyo ajja(N23MASC)+noVdaneV_#_SOC+yo_#_PRES
ajjanoVdaneVye ajja(N23MASC)+noVdaneV_#_SOC+ye_#_IMPH
ajjanoVdaneVye ajja(N23MASC)+noVdaneV_#_SOC+ye_#_DECL
ajjanoVdaneVye ajja(N23MASC)+noVdaneV_#_SOC+ye_#_RIS
ajjanoVMxigeVyA ajja(N23MASC)+noVMxigeV_#_SOC+yA_#_INTR
ajjanoVMxigeVyU ajja(N23MASC)+noVMxigeV_#_SOC+yU_#_INCL
ajjanoVMxigeVyo ajja(N23MASC)+noVMxigeV_#_SOC+yo_#_DUB
ajjanoVMxigeVyo ajja(N23MASC)+noVMxigeV_#_SOC+yo_#_INDF
ajjanoVMxigeVyo ajja(N23MASC)+noVMxigeV_#_SOC+yo_#_PRES
ajjanoVMxigeVye ajja(N23MASC)+noVMxigeV_#_SOC+ye_#_IMPH
ajjanoVMxigeVye ajja(N23MASC)+noVMxigeV_#_SOC+ye_#_DECL
ajjanoVMxigeVye ajja(N23MASC)+noVMxigeV_#_SOC+ye_#_RIS
ajjaMxirigoskaravA ajja(N23MASC)+aMxiru_#_BEN+rigoskaravA_aMxiru_INTR
ajjaMxirigoskaravU ajja(N23MASC)+aMxiru_#_BEN+rigoskaravU_aMxiru_INCL
